MONTSERRAT,East Caribbean Dollar,2,$
MOROCCO,Moroccan Dirham,2,¤
MOZAMBIQUE,Mozambique Metical,2,MT
MYANMAR,Kyat,2,¤
NAMIBIA,Namibia Dollar,2,$
NAMIBIA,Rand,2,R
NAURU,Australian Dollar,2,$
NEPAL,Nepalese Rupee,2,₨
NETHERLANDS (THE),Euro,2,€
NEW CALEDONIA,CFP Franc,0,¤
NEW ZEALAND,New Zealand Dollar,2,$
NICARAGUA,Cordoba Oro,2,C$
NIGER (THE),CFA Franc BCEAO,0,¤
NIGERIA,Naira,2,₦
NIUE,New Zealand Dollar,2,$
NORFOLK ISLAND,Australian Dollar,2,$
NORTHERN MARIANA ISLANDS (THE),US Dollar,2,$
NORWAY,Norwegian Krone,2,kr
OMAN,Rial Omani,3,﷼
PAKISTAN,Pakistan Rupee,2,₨
PALAU,US Dollar,2,$
PANAMA,Balboa,2,B/.
PANAMA,US Dollar,2,$
PAPUA NEW GUINEA,Kina,2,¤
PARAGUAY,Guarani,0,Gs
PERU,Sol,2,S/.
PHILIPPINES (THE),Philippine Peso,2,₱
PITCAIRN,New Zealand Dollar,2,$
POLAND,Zloty,2,zł
PORTUGAL,Euro,2,€
PUERTO RICO,US Dollar,2,$
QATAR,Qatari Rial,2,ﷲ
RÉUNION,Euro,2,€
ROMANIA,Romanian Leu,2,lei
RUSSIAN FEDERATION (THE),Russian Ruble,2,руб
RWANDA,Rwanda Franc,0,¤
SAINT BARTHÉLEMY,Euro,2,€
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",Saint Helena Pound,2,£
SAINT KITTS AND NEVIS,East Caribbean Dollar,2,$
SAINT LUCIA,East Caribbean Dollar,2,$
SAINT MARTIN (FRENCH PART),Euro,2,€
SAINT PIERRE AND MIQUELON,Euro,2,€
SAINT VINCENT AND THE GRENADINES,East Caribbean Dollar,2,$
SAMOA,Tala,2,¤
SAN MARINO,Euro,2,€
SAO TOME AND PRINCIPE,Dobra,2,¤
SAUDI ARABIA,Saudi Riyal,2,﷼
SENEGAL,CFA Franc BCEAO,0,¤
SERBIA,Serbian Dinar,2,Дин.
SEYCHELLES,Seychelles Rupee,2,₨
SIERRA LEONE,Leone,2,¤
SINGAPORE,Singapore Dollar,2,$
SINT MAARTEN (DUTCH PART),Netherlands Antillean Guilder,2,ƒ
SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS 'SUCRE',Sucre,0,¤
SLOVAKIA,Euro,2,€
SLOVENIA,Euro,2,€
SOLOMON ISLANDS,Solomon Islands Dollar,2,$
SOMALIA,Somali Shilling,2,S
SOUTH AFRICA,Rand,2,R
SOUTH SUDAN,South Sudanese Pound,2,¤
SPAIN,Euro,2,€
SRI LANKA,Sri Lanka Rupee,2,₨
SUDAN (THE),Sudanese Pound,2,¤
SURINAME,Surinam Dollar,2,$
SVALBARD AND JAN MAYEN,Norwegian Krone,2,kr
SWAZILAND,Lilangeni,2,¤
SWEDEN,Swedish Krona,2,kr
SWITZERLAND,Swiss Franc,2,CHF
SWITZERLAND,WIR Euro,2,¤
SWITZERLAND,WIR Franc,2,¤
SYRIAN ARAB REPUBLIC,Syrian Pound,2,£
TAIWAN (PROVINCE OF CHINA),New Taiwan Dollar,2,NT$
TAJIKISTAN,Somoni,2,¤
"TANZANIA, UNITED REPUBLIC OF",Tanzanian Shilling,2,¤
THAILAND,Baht,2,฿
TIMOR-LESTE,US Dollar,2,$
TOGO,CFA Franc BCEAO,0,¤
TOKELAU,New Zealand Dollar,2,$
TONGA,Pa’anga,2,¤
TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,2,TT$
TUNISIA,Tunisian Dinar,3,¤
TURKEY,Turkish Lira,2,₮
TURKMENISTAN,Turkmenistan New Manat,2,¤
TURKS AND CAICOS ISLANDS (THE),US Dollar,2,$
TUVALU,Australian Dollar,2,$
UGANDA,Uganda Shilling,0,¤
UKRAINE,Hryvnia,2,₴
UNITED ARAB EMIRATES (THE),UAE Dirham,2,¤
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,2,£
UNITED STATES MINOR OUTLYING ISLANDS (THE),US Dollar,2,$
UNITED STATES OF AMERICA (THE),US Dollar,2,$
UNITED STATES OF AMERICA (THE),US Dollar (Next day),2,¤
URUGUAY,Peso Uruguayo,2,$U
URUGUAY,Uruguay Peso en Unidades Indexadas (URUIURUI),0,¤
UZBEKISTAN,Uzbekistan Sum,2,лв
VANUATU,Vatu,0,¤
VENEZUELA (BOLIVARIAN REPUBLIC OF),Bolívar,2,Bs
VIET NAM,Dong,0,₫
VIRGIN ISLANDS (BRITISH),US Dollar,2,$
VIRGIN ISLANDS (US),US Dollar,2,$
WALLIS AND FUTUNA,CFP Franc,0,¤
WESTERN SAHARA,Moroccan Dirham,2,¤
YEMEN,Yemeni Rial,2,﷼
ZAMBIA,Zambian Kwacha,2,¤
ZIMBABWE,Zimbabwe Dollar,2,¤
ZZ01_Bond Markets Unit European_EURCO,Bond Markets Unit European Composite Unit (EURCO),0,¤
ZZ02_Bond Markets Unit European_EMU-6,Bond Markets Unit European Monetary Unit (E.M.U.-6),0,¤
ZZ03_Bond Markets Unit European_EUA-9,Bond Markets Unit European Unit of Account 9 (E.U.A.-9),0,¤
ZZ04_Bond Markets Unit European_EUA-17,Bond Markets Unit European Unit of Account 17 (E.U.A.-17),0,¤
ZZ06_Testing_Code,Codes specifically reserved for testing purposes,0,¤
ZZ07_No_Currency,The codes assigned for transactions where no currency is involved,0,¤
ZZ08_Gold,Gold,0,¤
ZZ09_Palladium,Palladium,0,¤
ZZ10_Platinum,Platinum,0,¤
ZZ11_Silver,Silver,0,¤
